Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
005930,SAMSUNG ELECTRONICS LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
0700,TENCENT HOLDINGS LTD,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
000660,SK HYNIX INC,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
9988,ALIBABA GROUP HOLDING LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
HDFCBANK,HDFC BANK LTD,Finance,Inde,National Stock Exchange Of India,INR
2308,DELTA ELECTRONICS INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
2317,HON HAI PRECISION INDUSTRY LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
0PDD,PDD HOLDINGS ADS INC,Biens de consommation cycliques,Chine,NASDAQ,USD
RELIANCE,RELIANCE INDUSTRIES LTD,Energie,Inde,National Stock Exchange Of India,INR
2454,MEDIATEK INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
ICICIBANK,ICICI BANK LTD,Finance,Inde,National Stock Exchange Of India,INR
005935,SAMSUNG ELECTRONICS NON VOTING PRE,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
3690,MEITUAN,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2318,PING AN INSURANCE (GROUP) CO OF CH,Finance,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
1211,BYD LTD H,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
BHARTIARTL,BHARTI AIRTEL LTD,La communication,Inde,National Stock Exchange Of India,INR
INFY,INFOSYS LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
005380,HYUNDAI MOTOR,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
9999,NETEASE INC,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
9618,JD.COM CLASS A INC,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
105560,KB FINANCIAL GROUP INC,Finance,Corée,Korea Exchange (Stock Market),KRW
3711,ASE TECHNOLOGY HOLDING LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
9888,BAIDU CLASS A INC,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
9961,TRIP.COM GROUP LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
0M&M,MAHINDRA AND MAHINDRA LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
402340,SK SQUARE LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
012450,HANWHA AEROSPACE LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
AXISBANK,AXIS BANK LTD,Finance,Inde,National Stock Exchange Of India,INR
034020,DOOSAN ENERBILITY LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
2383,ELITE MATERIAL LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
3968,CHINA MERCHANTS BANK LTD H,Finance,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
055550,SHINHAN FINANCIAL GROUP LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
DELTA.R,DELTA ELECTRONICS (THAILAND) NON-V,Technologie de l'information,Thaïlande,Stock Exchange Of Thailand,THB
2382,QUANTA COMPUTER INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
BAJFINANCE,BAJAJ FINANCE LTD,Finance,Inde,National Stock Exchange Of India,INR
2345,ACCTON TECHNOLOGY CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
0TCS,TATA CONSULTANCY SERVICES LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
000270,KIA CORPORATION CORP,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
3017,ASIA VITAL COMPONENTS LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
1088,CHINA SHENHUA ENERGY LTD H,Energie,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
086790,HANA FINANCIAL GROUP INC,Finance,Corée,Korea Exchange (Stock Market),KRW
068270,CELLTRION INC,Santé,Corée,Korea Exchange (Stock Market),KRW
3037,UNIMICRON TECHNOLOGY CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
6160,BEONE MEDICINES AG,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
035420,NAVER CORP,La communication,Corée,Korea Exchange (Stock Market),KRW
HINDUNILVR,HINDUSTAN UNILEVER LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,Santé,Inde,National Stock Exchange Of India,INR
9987,YUM CHINA HOLDINGS INC,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2360,CHROMA ATE INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
006400,SAMSUNG SDI LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
MARUTI,MARUTI SUZUKI INDIA LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
1801,INNOVENT BIOLOGICS INC,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
