symbol,available_exchanges,currency_base,currency_quote
1000SATS/USD,Binance,SATS,US Dollar
1INCH/USD,Binance;Huobi,1inch,US Dollar
AAVE/EUR,Coinbase Pro;Kraken,Aave,Euro
AAVE/USD,Binance;Gate.io,Aave,US Dollar
ACA/USD,Binance;Gate.io,Acala Token,US Dollar
ACH/USD,Coinbase Pro;Gate.io;Huobi,Alchemy Pay,US Dollar
ADA/EUR,Binance;Kraken;Synthetic,Cardano,Euro
ADA/USD,Binance;HitBTC;Huobi;Synthetic,Cardano,US Dollar
AERO/USD,Coinbase Pro,Aerodrome Finance,US Dollar
AE/USD,Gate.io,Aeternity,US Dollar
AKT/USD,Gate.io,Akash Network,US Dollar
ALGO/USD,Binance,Algorand,US Dollar
ALICE/USD,Binance,MyNeighborAlice,US Dollar
ALPHA/USD,Binance,Alpha Finance Lab,US Dollar
ALPINE/USD,Binance,Alpine F1 Team Fan Token,US Dollar
AMPL/USD,Gate.io;Kucoin,Ampleforth,US Dollar
AMPt/USD,Coinbase Pro,Amp,US Dollar
ANKR/USD,Binance,Ankr,US Dollar
APE/USD,Binance;Coinbase Pro;Huobi,ApeCoin,US Dollar
API3/USD,Binance;Gate.io,API3,US Dollar
APT/USD,Binance,Aptos,US Dollar
ARB/USD,Binance,Arbitrum,US Dollar
