Classification,Country,symbol,name,currency,exchange,mic_code
Bond,United States,ADFI,Anfield Dynamic Fixed Income Fund,USD,CBOE,BATS
Bond,United States,ADFI.IV,NFIELD DYNAMIC FIXED INCOME ETF,USD,NYSE,XASE
Bond,United States,AFIF,Anfield Universal Fixed Income Fund,USD,CBOE,BATS
Bond,United States,AGFXF,DB Agriculture Long Exchange Traded Note,USD,OTC,PINX
Bond,United States,AGG,iShares Core U.S. Aggregate Bond ETF,USD,NYSE,ARCX
Bond,United States,AGGH,Simplify Aggregate Bond ETF,USD,NYSE,ARCX
Bond,United States,AGGS,Harbor Disciplined Bond ETF,USD,NYSE,ARCX
Bond,United States,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,USD,NYSE,ARCX
Bond,United States,AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,USD,NYSE,ARCX
Bond,United States,AGZ,iShares Agency Bond ETF,USD,NYSE,ARCX
Bond,United States,AJUL,Invesco BulletShares 2026 July Corporate Bond ETF,USD,CBOE,BATS
Bond,United States,ANGL,VanEck Fallen Angel High Yield Bond ETF,USD,NASDAQ,XNMS
Bond,United States,AOCT,Invesco Senior Loan ETF,USD,CBOE,BATS
Bond,United States,APCB,ActivePassive Core Bond ETF,USD,NYSE,ARCX
Bond,United States,APMU,ActivePassive Intermediate Municipal Bond Fund,USD,NYSE,ARCX
Bond,United States,ARLU,Allianzim US Bond Fund 15 Uncapped April,USD,CBOE,BATS
Bond,United States,AVIG,Avantis Core Fixed Income Fund,USD,NYSE,ARCX
Bond,United States,IBDQ,iShares iBonds Dec 2025 Term ETF,USD,NYSE,ARCX
Bond,United States,IBDR,iShares iBonds Dec 2026 Term ETF,USD,NYSE,ARCX
