Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_downside_6y,roe_downside_6y,roic_drawdown_6y,roe_drawdown_6y,years_roic_6y,net_margin,revenue_growth_3y,assets_to_equity
"7061","JAPAN HOSPICE HOLDINGS INC.","","Japon","JPX","JPY","7.80","3.58","3.53","19.16","10.62","5.84","2.24","0","4","1.71","8.95","55.88","72.95","6","1.96","19.80","5.15"
"2169","CDS CO., LTD.","","Japon","JPX","JPY","5.13","0.03","8.68","9.97","4.20","15.84","6.20","4","4","6.04","4.20","55.58","62.33","6","5.17","-4.71","1.19"
"8291","NISSAN TOKYO SALES HOLDINGS INC.","","Japon","JPX","JPY","4.65","0.27","5.03","8.60","4.56","8.76","3.56","1","1","2.38","1.48","58.50","65.78","6","2.08","-6.95","1.73"
"8570","AEON FINANCIAL SERVICE CO., LTD.","","Japon","JPX","JPY","6.07","2.25","","5.68","0.65","","","","0","","0.72","","40.96","0","7.80","6.07","13.30"
"2170","LINK AND MOTIVATION INC.","","Japon","JPX","JPY","12.95","0.92","13.07","22.86","8.78","17.60","4.51","4","5","7.62","22.05","40.81","56.35","6","4.86","10.56","2.44"
"6929","NIPPON CERAMIC CO., LTD.","","Japon","JPX","JPY","13.82","0.00","15.78","9.72","3.57","13.05","2.40","2","1","1.97","2.10","0.00","27.53","6","25.86","5.72","1.13"
"1435","ROBOT HOME INC.","","Japon","JPX","JPY","19.45","0.12","22.54","13.46","5.19","17.26","5.27","3","1","14.86","13.94","0.00","5.39","6","8.28","67.05","1.43"
"1450","TANAKEN CO., LTD.","","Japon","JPX","JPY","17.12","0.00","26.10","18.12","2.28","27.51","5.19","6","6","3.15","1.63","22.74","19.62","6","10.13","17.82","1.31"
"1431","LIB WORK CO., LTD.","","Japon","JPX","JPY","10.66","0.81","9.69","8.55","2.96","6.59","2.77","2","2","2.74","3.30","68.52","60.62","6","3.09","6.23","2.44"
"8604","NOMURA HOLDINGS INC.","","Japon","JPX","JPY","10.07","4.63","","8.42","2.70","","","","0","","1.53","","49.14","0","20.33","15.61","16.25"
"8609","OKASAN SECURITIES GROUP INC.","","Japon","JPX","JPY","9.73","2.34","","7.42","2.06","","","","0","","3.47","","94.69","0","21.30","8.20","6.07"
"8600","TOMONY HOLDINGS INC.","","Japon","JPX","JPY","5.60","0.47","","5.56","0.16","","","","0","","0.78","","7.72","0","18.94","2.50","17.50"
"1434","JESCO HOLDINGS INC.","","Japon","JPX","JPY","15.03","0.74","10.09","16.30","4.04","6.52","3.69","0","4","2.13","3.78","60.47","37.35","6","5.64","31.04","2.33"
"7047","PORT INC.","","Japon","JPX","JPY","29.05","1.27","15.51","27.36","2.38","16.06","1.82","4","5","8.69","12.81","40.09","29.96","6","9.65","36.67","3.33"
"1429","NIPPON AQUA CO., LTD.","","Japon","JPX","JPY","17.10","0.41","13.01","19.61","3.20","15.18","2.27","5","6","2.67","3.41","33.38","30.38","6","5.63","9.00","2.22"
"6941","YAMAICHI ELECTRONICS CO., LTD.","","Japon","JPX","JPY","21.04","0.13","24.16","13.34","7.72","15.99","8.84","4","4","9.80","8.08","75.46","76.14","6","17.24","20.28","1.35"
"8282","K'S HOLDINGS CORPORATION","","Japon","JPX","JPY","5.73","0.24","5.99","4.03","1.55","4.57","1.30","0","1","1.73","2.92","69.43","80.88","6","1.88","2.84","1.70"
"2164","CHIIKISHINBUNSHA CO., LTD.","","Japon","JPX","JPY","8.65","1.55","4.51","-6.97","21.18","2.39","5.23","0","0","18.72","172.16","351.41","572.91","6","1.31","3.80","3.52"
"2157","KOSHIDAKA HOLDINGS CO., LTD.","","Japon","JPX","JPY","16.07","0.33","18.29","23.96","7.79","17.06","2.33","3","4","16.89","24.41","838.11","49.23","6","7.58","12.70","1.95"
"2160","GNI GROUP LTD.","","Japon","JPX","JPY","-15.65","0.10","-6.41","6.03","25.25","9.43","21.25","2","1","7.96","9.51","119.09","146.37","6","-26.64","1.58","1.62"
"150A","JSH CO. LTD.","","Japon","JPX","JPY","-7.35","0.69","-3.65","3.09","9.08","7.41","10.07","2","1","10.53","11.75","122.77","139.03","5","-3.09","16.68","1.95"
