Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_persist20_6y,roe_persist20_6y,roic_downside_6y,roe_downside_6y,roic_drawdown_6y,roe_drawdown_6y,years_roic_6y,years_roe_6y,roic_persist10_6y,roe_persist10_6y,net_debt_to_ebit,total_equity,net_margin,revenue_growth_3y,assets_to_equity
AIR,AAR CORP.,,Etats-Unis,NYSE,USD,12.88,0.58,8.55,5.99,6.15,6.48,1.80,0,1,0,0,0.87,3.31,29.59,87.71,6,6,0,1,3.06,1703800000.00,5.67,19.44,1.97
ALK,ALASKA AIR GROUP INC.,,Etats-Unis,NYSE,USD,2.36,1.67,2.52,6.01,5.15,4.20,2.38,0,1,0,0,9.90,23.29,57.14,86.91,5,5,0,1,8.63,4118000000.00,0.70,21.34,4.94
KBH,KB HOME,,Etats-Unis,NYSE,USD,10.77,0.44,7.13,14.40,3.17,9.32,1.95,2,4,0,1,3.01,4.32,51.40,55.95,6,6,3,6,2.82,3900858000.00,6.88,-1.37,1.71
ACI,"ALBERTSONS COMPANIES, INC.",,Etats-Unis,NYSE,USD,8.33,8.33,2.83,32.82,25.30,6.16,3.02,0,5,0,5,2.98,24.67,69.60,85.85,6,6,0,5,21.10,1836200000.00,0.26,2.45,14.58
ITW,ILLINOIS TOOL WORKS INC.,,Etats-Unis,NYSE,USD,93.72,2.86,26.26,100.28,8.74,26.61,1.32,6,6,6,6,2.84,16.66,6.45,14.96,6,6,6,6,1.98,3226000000.00,19.11,-0.20,5.01
ECL,ECOLAB INC.,,Etats-Unis,NYSE,USD,22.52,0.92,12.46,21.99,3.59,11.26,1.76,2,5,0,2,1.15,21.26,21.79,10.95,6,6,3,5,2.89,9804500000.00,13.02,2.45,2.52
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC.,,Etats-Unis,NYSE,USD,22.37,0.14,17.39,23.04,1.27,17.49,0.62,6,6,0,5,2.97,4.67,9.37,16.36,6,6,6,6,0.25,1861749000.00,8.35,5.30,1.62
KTB,KONTOOR BRANDS INC.,,Etats-Unis,NYSE,USD,47.14,2.29,17.11,61.67,13.64,21.93,4.31,5,6,4,6,8.04,19.13,32.98,71.92,6,6,6,6,3.43,564867000.00,7.22,9.95,4.57
ARMK,ARAMARK,,Etats-Unis,NYSE,USD,10.53,1.81,6.24,12.73,6.39,4.98,1.15,0,1,0,0,2.64,15.17,0.00,61.16,6,6,0,2,6.42,3162189000.00,1.77,7.27,4.21
AIV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,,Etats-Unis,NYSE,USD,137.07,1.56,-1.85,31.03,91.84,-0.76,0.99,0,2,0,1,1.84,17.20,5185.71,271.23,6,6,0,2,,552885000.00,428.18,-13.94,3.03
