Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,Volume,Seuil,MIC,Symbole,Source,Raison
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Finance","Etats-Unis","New York Stock Exchange Inc.","USD","60850","350000","XNYS","BRKB","MIC:XNYS","Volume 60850 < Seuil 350000"
"BKNG","BOOKING HOLDINGS INC","Biens de consommation cycliques","Etats-Unis","NASDAQ","USD","292300","500000","XNAS","BKNG","MIC:XNAS","Volume 292300 < Seuil 500000"
"TDG","TRANSDIGM GROUP INC","Industries","Etats-Unis","New York Stock Exchange Inc.","USD","288800","350000","XNYS","TDG","MIC:XNYS","Volume 288800 < Seuil 350000"
"EQIX","EQUINIX REIT INC","Immobilier","Etats-Unis","NASDAQ","USD","350600","500000","XNAS","EQIX","MIC:XNAS","Volume 350600 < Seuil 500000"
"AZO","AUTOZONE INC","Biens de consommation cycliques","Etats-Unis","New York Stock Exchange Inc.","USD","110100","350000","XNYS","AZO","MIC:XNYS","Volume 110100 < Seuil 350000"
"IDXX","IDEXX LABORATORIES INC","Santé","Etats-Unis","NASDAQ","USD","277000","500000","XNAS","IDXX","MIC:XNAS","Volume 277000 < Seuil 500000"
"GWW","WW GRAINGER INC","Industries","Etats-Unis","New York Stock Exchange Inc.","USD","238800","350000","XNYS","GWW","MIC:XNYS","Volume 238800 < Seuil 350000"
"MLM","MARTIN MARIETTA MATERIALS INC","Matériaux","Etats-Unis","New York Stock Exchange Inc.","USD","321500","350000","XNYS","MLM","MIC:XNYS","Volume 321500 < Seuil 350000"
"FICO","FAIR ISAAC CORP","Technologie de l'information","Etats-Unis","New York Stock Exchange Inc.","USD","256500","350000","XNYS","FICO","MIC:XNYS","Volume 256500 < Seuil 350000"
"WTW","WILLIS TOWERS WATSON PLC","Finance","Etats-Unis","NASDAQ","USD","455600","500000","XNAS","WTW","MIC:XNAS","Volume 455600 < Seuil 500000"
"MTD","METTLER TOLEDO INC","Santé","Etats-Unis","New York Stock Exchange Inc.","USD","155100","350000","XNYS","MTD","MIC:XNYS","Volume 155100 < Seuil 350000"
"PODD","INSULET CORP","Santé","Etats-Unis","NASDAQ","USD","376900","500000","XNAS","PODD","MIC:XNAS","Volume 376900 < Seuil 500000"
"MKL","MARKEL GROUP INC","Finance","Etats-Unis","New York Stock Exchange Inc.","USD","26000","350000","XNYS","MKL","MIC:XNYS","Volume 26000 < Seuil 350000"
"ULTA","ULTA BEAUTY INC","Biens de consommation cycliques","Etats-Unis","NASDAQ","USD","373700","500000","XNAS","ULTA","MIC:XNAS","Volume 373700 < Seuil 500000"
"TDY","TELEDYNE TECHNOLOGIES INC","Technologie de l'information","Etats-Unis","New York Stock Exchange Inc.","USD","288700","350000","XNYS","TDY","MIC:XNYS","Volume 288700 < Seuil 350000"
"TYL","TYLER TECHNOLOGIES INC","Technologie de l'information","Etats-Unis","New York Stock Exchange Inc.","USD","252200","350000","XNYS","TYL","MIC:XNYS","Volume 252200 < Seuil 350000"
"NVR","NVR INC","Biens de consommation cycliques","Etats-Unis","New York Stock Exchange Inc.","USD","54300","350000","XNYS","NVR","MIC:XNYS","Volume 54300 < Seuil 350000"
"TPL","TEXAS PACIFIC LAND CORP","Energie","Etats-Unis","New York Stock Exchange Inc.","USD","140100","350000","XNYS","TPL","MIC:XNYS","Volume 140100 < Seuil 350000"
"RS","RELIANCE STEEL & ALUMINUM","Matériaux","Etats-Unis","New York Stock Exchange Inc.","USD","349800","350000","XNYS","RS","MIC:XNYS","Volume 349800 < Seuil 350000"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Finance","Etats-Unis","NASDAQ","USD","140600","500000","XNAS","FCNCA","MIC:XNAS","Volume 140600 < Seuil 500000"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Technologie de l'information","Etats-Unis","NASDAQ","USD","413000","500000","XNAS","ZBRA","MIC:XNAS","Volume 413000 < Seuil 500000"
"WSO","WATSCO INC","Industries","Etats-Unis","New York Stock Exchange Inc.","USD","330000","350000","XNYS","WSO","MIC:XNYS","Volume 330000 < Seuil 350000"
"NDSN","NORDSON CORP","Industries","Etats-Unis","NASDAQ","USD","317900","500000","XNAS","NDSN","MIC:XNAS","Volume 317900 < Seuil 500000"
"HEI","HEICO CORP","Industries","Etats-Unis","New York Stock Exchange Inc.","USD","185500","350000","XNYS","HEI","MIC:XNYS","Volume 185500 < Seuil 350000"
"ERIE","ERIE INDEMNITY CLASS A","Finance","Etats-Unis","NASDAQ","USD","123800","500000","XNAS","ERIE","MIC:XNAS","Volume 123800 < Seuil 500000"
"BFB","BROWN FORMAN CORP CLASS B","Biens de consommation de base","Etats-Unis","New York Stock Exchange Inc.","USD","0","350000","XNYS","BFB","MIC:XNYS","Volume 0 < Seuil 350000"
"UHALB","U HAUL NON VOTING SERIES N","Industries","Etats-Unis","New York Stock Exchange Inc.","USD","0","350000","XNYS","UHALB","MIC:XNYS","Volume 0 < Seuil 350000"
