symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"1000SATS/USD","SATS","US Dollar","Binance","binance","0.0000","2026-02-09","0.26","-9.77","-32.17","-49.33","-90.88","-27.84","-72.84","185.87","156.39","-2.20","-12.22","12.64","48.75","true","false","425","1.000","true","true","simple","calendar","true","false"
"1INCH/USD","1inch","US Dollar","Binance","binance","0.0988","2026-02-09","1.13","-13.18","-35.38","-56.01","-61.97","-34.53","-66.43","145.92","118.61","-4.03","-16.00","12.98","57.16","true","false","425","1.000","true","true","simple","calendar","true","false"
"AAVE/EUR","Aave","Euro","Coinbase Pro","coinbase","94.9900","2026-02-09","-0.39","-11.96","-33.23","-48.32","-59.41","-24.94","-63.98","167.36","100.97","-4.30","-7.60","10.72","51.44","true","false","425","1.000","true","true","simple","calendar","true","false"
"AAVE/USD","Aave","US Dollar","Binance","binance","112.9200","2026-02-09","0.36","-12.04","-31.85","-46.82","-53.19","-24.18","-63.31","174.48","104.59","-3.88","-8.08","10.93","50.78","true","false","425","1.000","true","true","simple","calendar","true","false"
"ACA/USD","Acala Token","US Dollar","Binance","binance","0.0045","2026-02-09","18.42","-8.16","-40.00","-73.68","-91.96","-56.31","-84.90","402.03","196.57","-2.28","-13.04","24.76","79.75","true","false","425","1.000","true","true","simple","calendar","true","false"
"ACH/USD","Alchemy Pay","US Dollar","Coinbase Pro","coinbase","0.0075","2026-02-09","6.24","-8.13","-22.38","-41.71","-73.69","-4.37","-66.75","141.91","116.08","-2.23","-12.42","9.95","44.82","true","false","425","1.000","true","true","simple","calendar","true","false"
"ADA/EUR","Cardano","Euro","Binance","binance","0.2272","2026-02-09","-0.61","-10.34","-32.42","-54.67","-65.73","-25.04","-66.94","147.43","97.12","-4.33","-8.31","9.69","55.79","true","false","425","1.000","true","true","simple","calendar","true","false"
"ADA/USD","Cardano","US Dollar","Binance","binance","0.2704","2026-02-09","0.11","-9.60","-30.91","-53.30","-60.32","-24.15","-66.32","148.59","96.91","-4.07","-8.48","9.88","55.02","true","false","425","1.000","true","true","simple","calendar","true","false"
"AE/USD","Aeternity","US Dollar","Gate.io","gate.io","0.0103","2026-02-09","2.30","-11.79","56.84","99.53","-55.97","57.10","140.37","85.00","147.51","4.28","-6.88","14.46","13.97","false","false","425","1.000","true","true","simple","calendar","true","false"
"AKT/USD","Akash Network","US Dollar","Gate.io","gate.io","0.3270","2026-02-09","5.25","-12.45","-23.08","-49.32","-82.76","-11.91","-74.71","229.86","152.85","-2.31","-10.27","14.56","54.80","false","false","425","1.000","true","true","simple","calendar","true","false"
"ALGO/USD","Algorand","US Dollar","Binance","binance","0.0962","2026-02-09","-0.72","-8.29","-27.78","-45.89","-65.02","-19.97","-64.37","146.35","98.19","-3.59","-9.34","10.47","48.66","true","false","425","1.000","true","true","simple","calendar","true","false"
"ALICE/USD","MyNeighborAlice","US Dollar","Binance","binance","0.1168","2026-02-09","-1.27","-12.97","-33.49","-60.83","-83.24","-32.56","-72.36","127.31","101.80","-4.35","-13.02","11.15","57.52","true","false","425","1.000","true","true","simple","calendar","true","false"
"ALPINE/USD","Alpine F1 Team Fan Token","US Dollar","Binance","binance","0.4140","2026-02-09","0.73","-8.61","-30.07","-42.50","-59.92","-31.34","-70.64","129.62","81.53","-5.15","-8.52","8.26","43.81","true","false","425","1.000","true","true","simple","calendar","true","false"
"AMPt/USD","Amp","US Dollar","Coinbase Pro","coinbase","0.0016","2026-02-09","-0.62","-5.36","-27.06","-36.65","-73.10","-26.05","-57.94","234.10","119.75","-2.46","-8.57","12.80","47.08","true","false","425","1.000","true","true","simple","calendar","true","false"
"ANKR/USD","Ankr","US Dollar","Binance","binance","0.0045","2026-02-09","-1.09","-12.02","-37.72","-54.00","-80.61","-30.47","-73.14","210.17","117.19","-4.23","-10.20","13.92","54.93","true","false","425","1.000","true","true","simple","calendar","true","false"
"APE/USD","ApeCoin","US Dollar","Binance","binance","0.1275","2026-02-09","-0.16","-13.62","-40.81","-67.65","-81.47","-40.31","-80.12","156.74","115.38","-4.70","-9.25","11.51","68.01","true","false","425","1.000","true","true","simple","calendar","true","false"
"API3/USD","API3","US Dollar","Binance","binance","0.3309","2026-02-09","-0.24","-4.80","-26.58","-51.67","-61.21","-26.66","-57.41","195.38","115.29","-2.64","-10.28","14.30","55.31","true","false","425","1.000","true","true","simple","calendar","true","false"
"APT/USD","Aptos","US Dollar","Binance","binance","1.0470","2026-02-09","-1.97","-18.14","-42.66","-67.67","-82.27","-43.83","-78.11","143.73","107.26","-5.67","-12.19","12.22","66.03","true","false","425","1.000","true","true","simple","calendar","true","false"
"ARB/USD","Arbitrum","US Dollar","Binance","binance","0.1133","2026-02-09","-2.75","-17.42","-45.40","-62.15","-74.76","-43.66","-76.07","155.49","99.65","-6.81","-9.72","11.76","58.48","true","false","425","1.000","true","true","simple","calendar","true","false"
"ARPA/USD","ARPA Chain","US Dollar","Binance","binance","0.0099","2026-02-09","0.51","-11.33","-24.35","-44.90","-74.52","-22.53","-57.67","143.59","232.51","-0.50","-13.25","14.42","52.73","true","false","425","1.000","true","true","simple","calendar","true","false"
"AR/USD","Arweave","US Dollar","Binance","binance","1.9100","2026-02-09","-2.05","-24.21","-49.74","-66.84","-78.64","-49.20","-76.10","128.66","97.16","-7.82","-11.34","14.10","60.78","true","false","425","1.000","true","true","simple","calendar","true","false"
"ASTER/USDT","Aster","US Dollar","Binance","binance","0.6060","2026-02-09","-3.04","6.88","-15.36","","","-14.77","","205.21","129.63","-1.01","-9.50","11.56","56.06","true","false","72","1.000","false","false","simple","calendar","true","false"
