symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect,reason
"AERO/USD","Aerodrome Finance","US Dollar","Coinbase Pro","coinbase","0.5955","2026-01-07","-1.14","48.24","-9.27","-44.99","313336.83","26.70","-11.70","177.53","118.23","-0.60","-7.13","7.75","66.04","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"ALPHA/USD","Alpha Finance Lab","US Dollar","Binance","binance","0.0097","2026-01-07","0.00","0.00","0.00","0.00","-87.63","0.00","0.00","0.00","0.00","","","0.00","0.00","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"AXL/USD","Axelar","US Dollar","Binance","binance","0.0805","2026-01-07","-2.07","16.67","-26.95","-72.69","11080.56","11.50","-74.46","43.47","132.19","-2.35","-13.30","5.08","71.60","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"BAKE/USD","BakeryToken","US Dollar","Binance","binance","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"BCX/USD","BitcoinX","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false","thresholds"
"BNB/USD","Binance Coin","US Dollar","Binance","binance","917.6600","2026-01-07","0.00","6.17","2.60","-29.65","31.47","6.16","38.82","18.68","29.26","1.02","-2.18","2.42","36.54","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"BSW/USD","Biswap","US Dollar","Binance","binance","0.0112","2026-01-07","0.00","0.00","0.00","0.00","-84.29","0.00","0.00","0.00","0.00","","","0.00","0.00","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"BTC/EUR","Bitcoin","Euro","Binance","binance","79463.5500","2026-01-07","-0.92","6.87","2.28","-23.71","-15.30","5.27","-13.87","21.51","27.71","0.93","-2.32","2.21","26.89","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"BTCST/USD","Bitcoin Standard Hashrate Token","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false","thresholds"
"BTC/USD","Bitcoin","US Dollar","Binance","binance","92826.6100","2026-01-07","-0.98","5.91","2.69","-23.49","-4.26","4.49","-14.26","21.61","26.43","1.15","-2.29","2.20","26.42","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"COOK/USD","Cook Finance","US Dollar","Gate.io","gate.io","0.0159","2025-02-10","0.34","-3.83","-47.26","-57.57","6894.83","-38.26","13471.17","79.21","110.33","-6.02","-13.72","11.11","62.37","false","true","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"CRVUSD/USD","crvUSD","US Dollar","Gate.io","gate.io","0.9963","2026-01-07","0.21","0.26","0.53","-0.18","1.64","0.47","-0.30","2.78","5.53","0.46","-0.55","0.59","6.17","false","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"DEGEN/USD","Degen","US Dollar","Bybit","bybit","0.0015","2026-01-07","-0.27","41.32","-2.77","-47.99","147300.00","33.03","-57.77","128.49","112.76","0.59","-7.82","7.55","54.23","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"DPY/USD","Delphy","US Dollar","Gate.io","gate.io","0.0011","2026-01-07","-22.39","-25.24","53.93","-78.99","-22.26","-10.56","-93.21","391.34","618.73","2.51","-33.95","42.28","91.68","false","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"DRGN/USD","Dragonchain","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false","thresholds"
"FUEL/USD","Etherparty","US Dollar","Gate.io","gate.io","0.0018","2026-01-07","7.14","2.13","-2.85","-62.46","981.20","5.04","-81.46","82.05","50.50","-0.37","-4.53","6.50","54.21","false","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"GIGA/USDT","Gigachad","US Dollar","Binance","binance","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"GT/USD","GateToken","US Dollar","Huobi","huobi","10.5611","2026-01-07","-0.39","2.05","3.80","-36.27","-39.22","1.78","-32.20","14.41","22.16","1.04","-1.85","2.16","41.59","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"IMX/USD","Impact","US Dollar","Binance","binance","0.2900","2026-01-07","-1.02","33.03","2.11","-58.92","235979.43","13.28","-30.62","121.85","91.20","0.40","-5.60","6.50","64.90","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"MKR/USD","Maker","US Dollar","OKEx","okx","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"MNT/USD","Mantle","US Dollar","Bybit","bybit","1.0749","2026-01-07","-3.65","11.53","-1.86","-53.21","778.65","10.37","89.38","50.97","66.53","-0.02","-5.60","4.60","57.77","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"MORPHO/USD","Morpho","US Dollar","OKX","okx","1.2618","2026-01-07","-1.24","15.50","5.17","-29.10","69497.35","14.44","-6.75","42.89","61.92","1.13","-3.59","4.71","47.84","true","false","422","1.000","true","true","simple","calendar","true","true","suspect_return"
"NEON/USD","Neon EVM","US Dollar","Gate.io","gate.io","0.0608","2026-01-07","-0.10","15.77","-3.23","-43.28","22414.82","6.74","-33.30","57.92","78.12","-0.15","-6.04","8.18","53.42","false","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"NULS/USD","NULS","US Dollar","OKEx","okx","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"PAXG/USD","PAX Gold","US Dollar","Binance","binance","4472.3701","2026-01-07","-0.83","3.12","6.15","11.78","68.71","2.51","34.07","16.55","20.82","3.62","-0.83","1.51","11.50","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"PERP/USD","Perpetual Protocol","US Dollar","Binance","binance","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"PI/USD","Plian","US Dollar","Gate.io","gate.io","0.2117","2026-01-07","-0.45","3.98","-4.73","-14.06","10967.43","3.24","-53.82","16.76","29.39","-1.71","-2.66","2.12","26.76","false","false","425","1.000","true","true","simple","calendar","true","true","thresholds"
"PI/USDT","Pi","US Dollar","OKX","okx","0.2119","2026-01-07","-0.42","4.03","-4.64","-14.07","","3.42","-53.80","16.50","29.43","-1.66","-2.69","2.11","26.76","true","false","228","1.000","true","false","simple","calendar","true","false","thresholds"
"REQ/USD","Request","US Dollar","Gate.io","gate.io","0.1085","2026-01-07","-0.68","4.89","2.55","-15.40","-13.68","2.88","-22.86","18.42","26.72","-0.23","-2.64","2.07","23.77","false","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"RLY/USD","Rally","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false","thresholds"
"RUFF/USD","Ruff","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false","thresholds"
"SONIC/USD","Sonic SVM","US Dollar","Bybit","bybit","0.0876","2026-01-07","2.23","16.38","6.82","-49.16","104126.19","14.58","-59.05","62.34","73.08","1.29","-5.78","6.05","54.04","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"S/USD","Sonic (prev. FTM)","US Dollar","Binance","binance","0.0968","2026-01-07","-0.92","30.99","5.22","-67.45","92055.37","19.95","-68.50","88.44","87.20","0.49","-5.40","6.84","66.40","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"TIA/USD","Celestia","US Dollar","Binance","binance","0.5980","2026-01-07","1.29","31.17","7.36","-58.73","8740.92","20.06","-61.98","73.50","88.32","0.49","-6.84","6.04","62.94","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"TRX/USD","TRON","US Dollar","Binance","binance","0.2949","2026-01-07","0.24","3.66","2.82","-12.73","16.75","2.72","2.86","18.78","20.73","2.76","-1.35","1.28","16.02","true","false","425","1.000","true","true","simple","calendar","true","false","thresholds"
"XAUT/USD","Tether Gold","US Dollar","Bybit","bybit","4459.6000","2026-01-07","-0.63","2.97","6.16","11.57","","2.36","33.99","14.81","19.68","3.79","-0.63","1.44","10.31","true","false","232","1.000","true","false","simple","calendar","true","false","thresholds"
"XPRT/USD","Persistence","US Dollar","Huobi","huobi","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"XYM/USD","Symbol","US Dollar","KuCoin","kucoin","","","","","","","","","","","","","","","","true","","0","0","false","false","simple","calendar","true","false","thresholds"
"ZEC/EUR","Zcash","Euro","Kraken","kraken","423.7890","2026-01-07","-1.49","-2.71","44.02","286.34","738.72","-5.14","1187.13","69.43","111.84","2.67","-7.06","6.59","55.26","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"ZEC/USD","Zcash","US Dollar","Binance","binance","493.8600","2026-01-07","-1.62","-3.60","44.07","288.07","844.82","-6.12","1173.82","71.85","111.35","2.66","-7.14","6.94","55.25","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
"ZRO/USD","LayerZero","US Dollar","Binance","binance","1.4400","2026-01-07","-0.14","17.36","5.57","-40.47","100881.77","12.06","-19.51","45.52","64.10","1.09","-4.48","3.97","39.73","true","false","425","1.000","true","true","simple","calendar","true","true","suspect_return"
