symbol,dummy2,dummy3,exchange_used,c5,c6,c7,c8,ret_30d_pct,c10,vol_30d_annual_pct
"FUN/USD","","","Gate.io","","","","","1754.66","","15330.35"
"DUSK/USD","","","Binance","","","","","110.55","","336.42"
"AE/USD","","","Gate.io","","","","","70.68","","142.12"
"AXS/USD","","","Binance","","","","","63.52","","283.25"
"AXS/EUR","","","Kraken","","","","","60.87","","284.32"
"XPRT/USD","","","Gate.io","","","","","56.40","","297.27"
"ROSE/USD","","","Binance","","","","","33.65","","230.29"
"STG/USD","","","Binance","","","","","30.82","","105.92"
"ZRO/USD","","","Binance","","","","","30.53","","106.01"
"FXS/USD","","","Binance","","","","","27.87","","134.87"
