symbol,dummy2,dummy3,exchange_used,c5,c6,c7,c8,ret_30d_pct,c10,vol_30d_annual_pct
"INK/USD","","","Gate.io","","","","","-94.00","","568.68"
"NKN/USD","","","Binance","","","","","-47.48","","378.20"
"SKM/USD","","","Gate.io","","","","","-92.14","","350.35"
"SDN/USD","","","Gate.io","","","","","-50.35","","289.81"
"TRIBE/USD","","","Gate.io","","","","","22.25","","272.05"
"BLOK/USD","","","KuCoin","","","","","-92.17","","266.06"
"ZSC/USD","","","Gate.io","","","","","-8.06","","258.82"
"ACA/USD","","","Binance","","","","","-74.29","","248.16"
"C98/USD","","","Binance","","","","","18.14","","235.69"
"DATA/USD","","","Gate.io","","","","","-79.58","","235.42"
