symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"1000SATS/USD","SATS","US Dollar","Binance","binance","0.0000","2026-02-14","4.98","4.54","-36.06","-36.84","-90.39","-22.94","-68.21","53.97","111.35","-4.45","-12.22","9.63","47.82","true","false","425","1.000","true","true","simple","calendar","true","false"
"1INCH/USD","1inch","US Dollar","Binance","binance","0.1001","2026-02-14","2.98","0.40","-37.48","-44.63","-63.10","-33.66","-60.56","55.60","108.71","-4.27","-16.00","9.23","55.63","true","false","425","1.000","true","true","simple","calendar","true","false"
"AAVE/EUR","Aave","Euro","Coinbase Pro","coinbase","110.0000","2026-02-14","9.69","13.61","-28.25","-26.49","-56.08","-13.08","-59.02","91.07","107.00","-2.83","-7.60","8.26","50.70","true","false","425","1.000","true","true","simple","calendar","true","false"
"AAVE/USD","Aave","US Dollar","Binance","binance","129.1500","2026-02-14","8.64","13.32","-27.63","-25.75","-50.82","-13.28","-58.68","86.19","109.49","-2.63","-8.08","8.49","50.13","true","false","425","1.000","true","true","simple","calendar","true","false"
"ACA/USD","Acala Token","US Dollar","Binance","binance","0.0018","2026-02-14","0.00","-55.00","-76.32","-87.84","-96.95","-82.52","-93.57","358.68","248.34","-5.39","-21.74","68.25","87.50","true","false","425","1.000","true","true","simple","calendar","true","false"
"ACH/USD","Alchemy Pay","US Dollar","Coinbase Pro","coinbase","0.0081","2026-02-14","1.96","9.76","-23.12","-23.17","-68.62","3.27","-61.87","67.61","100.64","-3.55","-12.42","8.37","44.82","true","false","425","1.000","true","true","simple","calendar","true","false"
"ADA/EUR","Cardano","Euro","Binance","binance","0.2464","2026-02-14","7.18","6.81","-30.73","-42.38","-67.76","-18.71","-69.01","70.13","96.21","-3.58","-8.31","7.71","49.23","true","false","425","1.000","true","true","simple","calendar","true","false"
"ADA/USD","Cardano","US Dollar","Binance","binance","0.2896","2026-02-14","6.16","6.43","-30.10","-41.89","-63.79","-18.77","-68.72","64.02","94.85","-3.47","-8.48","7.82","48.34","true","false","425","1.000","true","true","simple","calendar","true","false"
"AERO/USD","Aerodrome Finance","US Dollar","Coinbase Pro","coinbase","0.3271","2026-02-14","7.01","0.52","-46.11","-60.35","-61.87","-30.41","-75.11","101.58","121.83","-4.75","-9.75","10.66","66.58","true","false","425","1.000","true","true","simple","calendar","true","false"
"AE/USD","Aeternity","US Dollar","Gate.io","gate.io","0.0104","2026-02-14","-2.10","3.76","58.44","105.84","-54.38","59.29","149.39","54.11","144.53","4.60","-6.74","10.56","13.97","false","false","425","1.000","true","true","simple","calendar","true","false"
"AKT/USD","Akash Network","US Dollar","Gate.io","gate.io","0.3446","2026-02-14","5.06","5.13","-33.28","-38.87","-82.12","-7.17","-73.44","83.99","135.16","-2.35","-10.27","10.36","50.05","false","false","425","1.000","true","true","simple","calendar","true","false"
"ALGO/USD","Algorand","US Dollar","Binance","binance","0.0990","2026-02-14","5.21","1.33","-27.47","-38.51","-66.60","-17.64","-60.99","66.09","96.93","-2.75","-9.34","8.23","43.62","true","false","425","1.000","true","true","simple","calendar","true","false"
"ALICE/USD","MyNeighborAlice","US Dollar","Binance","binance","0.1174","2026-02-14","2.44","-4.63","-35.95","-53.89","-85.03","-32.22","-69.31","51.60","96.89","-4.25","-13.02","8.76","56.94","true","false","425","1.000","true","true","simple","calendar","true","false"
"ALPHA/USD","Alpha Finance Lab","US Dollar","Binance","binance","0.0097","2026-02-14","0.00","0.00","0.00","0.00","-81.45","0.00","0.00","0.00","0.00","","","0.00","0.00","true","false","425","1.000","true","true","simple","calendar","true","false"
"ALPINE/USD","Alpine F1 Team Fan Token","US Dollar","Binance","binance","0.4480","2026-02-14","1.59","5.66","-24.71","-32.12","-60.80","-25.70","-65.51","75.44","87.24","-3.92","-8.52","7.02","40.89","true","false","425","1.000","true","true","simple","calendar","true","false"
"AMPt/USD","Amp","US Dollar","Coinbase Pro","coinbase","0.0016","2026-02-14","2.61","-4.85","-29.60","-35.66","-73.07","-26.98","-55.65","45.40","119.95","-2.91","-8.57","11.01","43.57","true","false","425","1.000","true","true","simple","calendar","true","false"
"ANKR/USD","Ankr","US Dollar","Binance","binance","0.0048","2026-02-14","2.81","0.00","-34.88","-46.40","-79.78","-27.11","-69.76","47.94","114.97","-3.44","-10.20","11.27","50.06","true","false","425","1.000","true","true","simple","calendar","true","false"
"APE/USD","ApeCoin","US Dollar","Binance","binance","0.1349","2026-02-14","2.98","2.43","-39.70","-61.31","-81.99","-36.84","-77.70","55.76","99.75","-5.09","-9.25","8.75","64.59","true","false","425","1.000","true","true","simple","calendar","true","false"
"API3/USD","API3","US Dollar","Binance","binance","0.3250","2026-02-14","1.85","-7.64","-29.36","-40.97","-64.29","-27.97","-54.55","62.46","110.28","-2.69","-10.28","13.04","53.02","true","false","425","1.000","true","true","simple","calendar","true","false"
"APT/USD","Aptos","US Dollar","Binance","binance","0.9810","2026-02-14","4.25","-11.78","-49.28","-66.43","-83.92","-47.37","-79.22","74.68","99.78","-6.87","-12.19","10.44","68.28","true","false","425","1.000","true","true","simple","calendar","true","false"
"ARB/USD","Arbitrum","US Dollar","Binance","binance","0.1197","2026-02-14","3.55","-0.25","-44.91","-49.64","-75.94","-40.48","-76.82","61.63","95.46","-6.64","-9.72","9.15","54.60","true","false","425","1.000","true","true","simple","calendar","true","false"
"ARPA/USD","ARPA Chain","US Dollar","Binance","binance","0.0104","2026-02-14","2.46","3.99","-21.00","-34.88","-72.64","-18.78","-52.79","22.41","231.03","-0.11","-13.25","8.73","52.73","true","false","425","1.000","true","true","simple","calendar","true","false"
"AR/USD","Arweave","US Dollar","Binance","binance","2.1300","2026-02-14","5.97","5.45","-47.41","-52.35","-77.44","-43.35","-71.06","101.26","99.08","-6.87","-11.34","10.33","58.84","true","false","425","1.000","true","true","simple","calendar","true","false"
"ASTER/USDT","Aster","US Dollar","Binance","binance","0.7270","2026-02-14","0.00","29.13","-1.89","","","2.25","","94.53","132.07","0.73","-9.50","9.73","56.06","true","false","77","1.000","false","false","simple","calendar","true","false"
"ASTR/USD","Astar","US Dollar","Binance","binance","0.0083","2026-02-14","2.84","3.48","-26.87","-37.74","-79.43","-18.09","-66.06","67.33","114.18","-2.31","-13.34","12.04","51.28","true","false","425","1.000","true","true","simple","calendar","true","false"
"ATA/USD","Automata Network","US Dollar","Binance","binance","0.0134","2026-02-14","2.29","2.29","-27.57","-41.23","-82.53","-25.14","-71.55","66.28","101.17","-3.63","-9.55","7.94","50.64","true","false","425","1.000","true","true","simple","calendar","true","false"
"ATLAS/USD","Star Atlas","US Dollar","Gate.io","gate.io","0.0002","2026-02-14","0.05","7.47","-33.06","-50.36","-88.75","-28.78","-79.14","68.41","85.47","-4.12","-7.55","8.85","61.87","false","false","425","1.000","true","true","simple","calendar","true","false"
"ATOM/EUR","Cosmos","Euro","Kraken","kraken","1.8340","2026-02-14","2.64","8.41","-17.38","-23.97","-60.90","4.37","-52.78","63.74","77.87","-1.97","-7.00","6.44","35.33","true","false","425","1.000","true","true","simple","calendar","true","false"
"ATOM/USD","Cosmos","US Dollar","Binance","binance","2.1730","2026-02-14","2.40","9.25","-15.84","-22.39","-55.74","5.03","-51.94","63.15","76.61","-1.73","-6.68","6.70","34.09","true","false","425","1.000","true","true","simple","calendar","true","false"
"AUDIO/EUR","Audius","Euro","BitStamp","bitstamp","0.0180","2026-02-14","0.00","-18.23","-35.77","-47.76","-81.77","-18.82","-66.56","131.62","119.00","-3.90","-18.23","5.86","43.64","true","false","425","1.000","true","true","simple","calendar","true","false"
"AUDIO/USD","Audius","US Dollar","Binance","binance","0.0218","2026-02-14","2.35","0.46","-30.79","-42.33","-78.92","-26.35","-64.38","42.88","74.87","-5.03","-5.73","7.77","42.98","true","false","425","1.000","true","true","simple","calendar","true","false"
"A/USDT","Vaulta","US Dollar","Binance","binance","0.0897","2026-02-14","2.51","4.91","-50.19","-63.28","","-45.24","-82.58","49.32","116.19","-6.18","-15.96","7.64","67.36","true","false","252","1.000","true","false","simple","calendar","true","false"
"AVAX/EUR","Avalanche","Euro","Binance","binance","8.0000","2026-02-14","3.76","2.04","-36.25","-38.56","-68.20","-30.80","-60.69","54.18","87.62","-5.07","-8.54","7.23","45.60","true","false","425","1.000","true","true","simple","calendar","true","false"
"AVAX/USD","Avalanche","US Dollar","Binance","binance","9.4600","2026-02-14","3.50","2.49","-35.21","-37.48","-64.15","-30.39","-60.03","51.82","87.08","-4.85","-8.53","7.45","44.61","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXL/USD","Axelar","US Dollar","Binance","binance","0.0635","2026-02-14","3.08","7.45","-20.03","-55.47","-87.18","-12.05","-81.36","47.41","128.01","-0.91","-12.90","10.83","61.54","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/EUR","Axie Infinity","Euro","Kraken","kraken","1.2500","2026-02-14","5.84","11.81","19.05","16.28","-70.91","68.92","-38.67","146.53","284.66","2.52","-15.11","12.99","56.71","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/USD","Axie Infinity","US Dollar","Binance","binance","1.4780","2026-02-14","4.82","11.38","20.75","18.15","-67.50","69.69","-37.79","161.73","285.74","2.56","-14.88","13.83","56.95","true","false","425","1.000","true","true","simple","calendar","true","false"
"BADGER/USD","Badger DAO","US Dollar","Coinbase Pro","coinbase","0.3836","2026-02-14","0.31","0.18","-33.86","-40.06","-89.16","-28.96","-62.76","43.89","91.37","-4.79","-7.89","8.46","41.28","true","false","425","1.000","true","true","simple","calendar","true","false"
