ticker,fiscal_date,excluded_year,excluded_year_reason,shares_outstanding,shares_normalized,market_cap,net_income,total_equity,total_debt,free_cash_flow,operating_income,roe,roic,de_ratio,fcf_yield,pe_ratio,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,buffett_score,buffett_score_no_valuation,criteria_total
005930,2020-12-31,False,,6792722208.0,False,550210498848000.0,26407832000000.0,275948016000000.0,20217381000000.0,25015196000000.0,35993876000000.0,9.56985753432632,8.830412221136013,0.07326517977212056,4.5464774031712265,20.835125687258234,9.56985753432632,,8.830412221136013,,67,60,6
005930,2021-12-31,False,,6793109053.0,False,531900438849900.0,39907450000000.0,304899931000000.0,18392149000000.0,15276427000000.0,51633856000000.0,13.08870417553489,11.946595959346478,0.06032191919387479,2.8720463237502503,13.328349439763754,11.329280854930605,2.488200321954085,10.388504090241245,2.203474652711865,67,60,6
005930,2022-12-31,False,,6792853171.0,False,375644780356300.0,55654077000000.0,354749604000000.0,10333242000000.0,9054614000000.0,43376630000000.0,15.688270366610475,14.238515794358259,0.029128269301746706,2.41041922409029,6.749636335830347,12.782277358823896,3.070694863066758,11.671841324946916,2.714500625624874,67,60,6
005930,2023-12-31,False,,6791835289.0,False,533159070186500.0,15487100000000.0,363677865000000.0,12685944000000.0,-16396740000000.0,6566976000000.0,4.258466486542974,2.455204725605838,0.034882364919294716,-3.0753936145669227,34.42601069189842,11.011813676229446,5.991261118811334,9.546772159770192,6.2474771418153585,17,20,6
005930,2024-12-31,False,,5969672000.0,False,317586550400000.0,34451351000000.0,402192070000000.0,19330184000000.0,19240982000000.0,32725961000000.0,8.565895145570622,7.126932928458491,0.04806207143765913,6.058500265759365,9.218406279626015,9.504210666241356,5.772385225922662,7.940217816140862,5.933605916063622,67,60,6
005930,2025-12-31,False,,6701128842.0,False,803465348155800.0,45206805000000.0,436320337000000.0,25239139000000.0,33161999000000.0,43601051000000.0,10.360920902937423,8.630391532598319,0.05784543341146164,4.127371401407289,17.773106242650858,7.728427511683673,3.136240026592222,6.070843062220883,3.220206108231401,67,60,6
AAPL,2020-09-30,False,,17352119000.0,False,1979703187301.524,57411000000.0,65339000000.0,122278000000.0,73365000000.0,66288000000.0,87.86635853012748,30.233858425832317,1.871439722064923,3.7058585585247106,34.4829943268977,87.86635853012748,,30.233858425832317,,67,80,6
AAPL,2021-09-30,False,,16701272000.0,False,2385442679760.0,94680000000.0,63090000000.0,136522000000.0,92953000000.0,108949000000.0,150.07132667617688,47.319960640130724,2.163924552226977,3.8966771571871104,25.194789604562736,118.96884260315218,43.98555479956471,38.77690953298152,12.081698739776888,50,60,6
AAPL,2022-09-30,False,,16215963000.0,False,2310450408240.0,99803000000.0,50672000000.0,132480000000.0,111443000000.0,119437000000.0,196.95887275023682,54.64470881998231,2.6144616356173036,4.823431812366508,23.150109798703447,144.96551931884707,54.72518722027191,44.066175961981784,12.526481560686179,67,60,6
AAPL,2023-09-30,False,,15744231000.0,False,2695569946952.31,96995000000.0,62146000000.0,111088000000.0,99584000000.0,114301000000.0,156.07601454639075,56.26888293615087,1.7875325845589418,3.6943578523196017,27.790813412570856,167.70207132426816,25.51439576716633,52.7445174654213,4.767478154434786,67,80,6
AAPL,2024-09-30,False,,15343783000.0,False,3495160176132.17,93736000000.0,56950000000.0,106629000000.0,108807000000.0,123216000000.0,164.59350307287096,57.17836964897186,1.872326602282704,3.1130762115860593,37.287276778742104,172.54279678983283,21.569549756029755,56.03065380170168,1.283520213890029,67,80,6
AAPL,2025-09-30,False,,14948500000.0,False,3803346705515.0,112010000000.0,73733000000.0,98657000000.0,98767000000.0,133050000000.0,151.91298333175104,65.13190550061069,1.3380304612588665,2.596844506886107,33.955420993795194,157.52750031700424,6.463667955035524,59.526386028577804,4.875774598328386,67,80,6
ABBV,2020-12-31,False,,1765132819.0,False,185815531856.13,4622000000.0,13097000000.0,86056000000.0,16790000000.0,11363000000.0,35.290524547606324,15.588119067144982,6.570665037794915,9.03584314630914,40.20240845004977,35.290524547606324,,15.588119067144982,,67,80,6
ABBV,2021-12-31,False,,1768337696.0,False,240370125333.90305,11549000000.0,15436000000.0,76684000000.0,21990000000.0,17924000000.0,74.81860585643949,17.300142105613464,4.96786732314071,9.148391452329294,20.81306825992753,55.05456520202291,27.95057434076915,16.444130586379224,1.210583100048661,67,60,6
ABBV,2022-12-31,False,,1769181294.0,False,285917388923.34,11845000000.0,17287000000.0,63271000000.0,24248000000.0,18117000000.0,68.5196968820501,19.766029786713446,3.6600335512234627,8.48077134843357,24.138234607289153,59.54294242869864,21.238029413678085,17.551430319823965,2.1002604172154693,67,60,6
ABBV,2023-12-31,False,,1768000000.0,False,273986960000.0,4873000000.0,10397000000.0,59385000000.0,22062000000.0,12757000000.0,46.86928921804366,14.253500558883381,5.711743772241993,8.052208032090286,56.22552021342089,63.40253065217775,14.660495141926038,17.106557483736765,2.7613585200568473,50,60,6
ABBV,2024-12-31,False,,1765256986.0,False,311038280933.19995,4286000000.0,3364000000.0,67144000000.0,17832000000.0,11894000000.0,127.40784780023782,19.45655740352819,19.959571938168846,5.7330563770154335,72.57076083369108,80.93227796677719,41.679359178292,17.825362583041674,3.0971909900273693,50,60,6
ABBV,2025-12-31,False,,1767876035.0,False,406151857959.6604,4233000000.0,-3228000000.0,67496000000.0,17816000000.0,20091000000.0,,20.058966498659984,,4.386536624379916,95.94893880455005,87.13856850914074,56.949360920459505,17.923008153690517,3.1921291751329277,50,67,4
ADBE,2020-11-30,False,,481000000.0,False,229451429519.0,5260000000.0,13264000000.0,4708000000.0,5308000000.0,4237000000.0,39.656212303980695,29.695272040884372,0.35494571773220746,2.3133436174824373,43.621944775475285,39.656212303980695,,29.695272040884372,,67,80,6
ADBE,2021-11-30,False,,477000000.0,False,327932725230.0,4822000000.0,14797000000.0,4673000000.0,6882000000.0,5802000000.0,32.58768669324863,25.187399477926668,0.3158072582280192,2.0986011674111564,68.00761618208212,36.12194949861466,4.998202392339427,27.44133575940552,3.1875472579921746,67,80,6
