symbol,name,sector_top,sector_top_weight_pct,sector_trust,bucket,reasons
AAAU,"Goldman Sachs Physical Gold ETF","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
AAOX,"Tradr 2X Long AAOI Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
ACYN,"FT Vest Laddered Autocallable Barrier & Income ETF","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
ADBG,"Leverage Shares 2x Long Adobe ETP","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
AGQ,"ProShares Ultra Silver","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
AIBU,"Direxion Daily AI and Big Data Bull 2X Shares","Technology",82.19,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
ANEL,"Defiance Daily Target 2X Long ANET ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
APLX,"Tradr 2X Long Applied Digital Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
APPX,"Tradr 2x Long App Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
ARCX,"Tradr 2x Long Achr Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
ARKB,"Ark 21Shares Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
ASTN,"Defiance Daily Target 2X Short ASTS ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
ASTX,"Tradr 2X Long ASTS Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
AVGE,"FRCL 3 2022Q3 Hb Float","Technology",21.52,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
AVGX,"Defiance Daily Target 2X Long AVGO","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
AVXX,"Defiance Daily Target 2X Long AVAV ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BABX,"Graniteshares 2x Long Alibaba ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BAR,"GraniteShares Gold Trust","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
BCD,"abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
BEG,"Leverage Shares 2X Long BE Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BERZ,"MicroSectors FANG & Innovation -3X ETN","Technology",60.76,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
BEX,"Tradr 2X Long BE Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BEZ,"Tradr 2X Short BE Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
BITB,"Bitwise Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BITI,"ProShares Short Bitcoin ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
BITO,"ProShares Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BITQ,"Bitwise Crypto Industry Innovators ETF","Financial Services",71.58,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
BITU,"ProShares Ultra Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BITW,"Bitwise 10 Crypto Index Fund","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
BITX,"2X BITCOIN STRATEGY ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BKCH,"Global X Blockchain ETF","Financial Services",78.98,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
BLOK,"Amplify Transformational Data Sharing ETF","Financial Services",54.27,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BLOX,"Nicholas Crypto Income ETF","Financial Services",66.95,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
BMNG,"Leverage Shares 2x Long BMNR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BMNU,"T-REX 2X Long Bitmine Immersion Technologies Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BMNZ,"Defiance Daily Target 2X Short BitMine Immersion Technologies ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BOEU,"Direxion Daily Banks Bull 2X Shares","Industrial",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
BOIL,"ProShares Ultra Bloomberg Natural Gas","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
BRRR,"CoinShares Valkyrie Bitcoin Fund","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BRZU,"Direxion Daily MSCI Brazil Bull 3X Shares","Financial Services",33.40,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
BSOL,"Bitwise Solana Staking Exchange Traded Product","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BTC,"Grayscale Bitcoin Mini Trust ETF","Real Estate",0.00,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BTCI,"Neos Bitcoin High Income ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BTCL,"T-Rex 2x Long Bitcoin Daily Mutual Fund","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BTCO,"Invesco Galaxy Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BTCZ,"T-Rex 2x Inverse Bitcoin Daily Fund","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
BULZ,"MicroSectors FANG & Innovation 3X Leveraged ETNs","Technology",60.76,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
BWET,"Breakwave Tanker Shipping ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
CAIE,"Calamos Autocallable Income ETF","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
CAIQ,"Calamos Nasdaq Autocallable Income ETF","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
CANE,"Teucrium Sugar Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
CCUP,"T-REX 2X Long CRCL Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CEGX,"Tradr 2X Long CEG Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CEPI,"Rex Crypto Equity Premium Income ETF","Financial Services",49.55,0.35,ALT_ASSET_CRYPTO,"OPTIONS_OVERLAY|ALT_ASSET_CRYPTO"
CERY,"SPDR Bloomberg Enhanced Roll Yield Commodity Strategy No K-1 ETF","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
CETH,"21Shares Ethereum ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
CHAU,"Direxion Daily CSI 300 China A Share Bull 2X Shares","Technology",31.11,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
CIFG,"Leverage Shares 2X Long CIFR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CIFU,"T-REX 2X Long CIFR Daily Target ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
CLSX,"Tradr 2X Long CLSK Daily ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
CMDT,"PIMCO Commodity Strategy Active Exchange-Traded Fund","Financial Services",100.00,0.2,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY|FS_BUT_COMMODITY"
COHX,"Tradr 2X Long COHR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
