symbol,name,currency,category,region,exchange,mic_code
IITU,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),GBp,information-technology,us,,XLON
ESIT,iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc),GBP,information-technology,eu,,XDUS
IUFS,iShares S&P 500 Financials Sector UCITS ETF,USD,financials,us,,XDUB
0MNK,iShares STOXX Europe 600 Banks UCITS ETF (DE),EUR,financials,eu,,XLON
XDWI,Xtrackers MSCI World Industrials UCITS ETF 1C,EUR,industrials,us,,XMIL
NDUS,SPDR MSCI Europe Industrials UCITS ETF,EUR,industrials,eu,,XLON
XDWH,Xtrackers MSCI World Health Care UCITS ETF 1C,EUR,healthcare,us,,XMIL
ESIH,iShares MSCI Europe Health Care Sector UCITS ETF EUR (Acc),GBP,healthcare,eu,,XETR
XDWM,Xtrackers MSCI World Materials UCITS ETF 1C,EUR,materials,us,,XETR
0MO6,iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),EUR,materials,eu,,XLON
XDW0,Xtrackers MSCI World Energy UCITS ETF 1C,EUR,energy,us,,XMIL
ENGE,SPDR MSCI Europe Energy UCITS ETF,GBP,energy,eu,,XLON
ICDU,iShares S&P 500 Consumer Discretionary Sector UCITS ETF (Acc),GBp,consumer-discretionary,us,,XLON
ESIC,iShares MSCI Europe Consumer Discretionary Sector UCITS ETF EUR (Acc),GBP,consumer-discretionary,eu,,XHAM
XDWS,Xtrackers MSCI World Consumer Staples UCITS ETF 1C,EUR,consumer-staples,us,,XSWX
ESIS,iShares MSCI Europe Consumer Staples Sector UCITS ETF EUR (Acc),GBP,consumer-staples,eu,,XDUS
IDUP,iShares US Property Yield UCITS ETF USD (Dist),USD,real-estate,us,,XLON
D5BK,Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C,EUR,real-estate,eu,,XHAN
IU5C,iShares S&P 500 Communication Sector UCITS ETF USD (Acc),EUR,communication-services,us,,XHAM
2B7A,iShares S&P 500 Utilities Sector UCITS ETF USD (Acc),EUR,utilities,us,,XDUS
0MOZ,iShares STOXX Europe 600 Utilities UCITS ETF (DE),EUR,utilities,eu,,XLON
